query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
3NRC_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],2.25E-15,74.7,25.322,233
3NRC_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],3.55E-15,74.3,24.464,233
3NRC_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],3.96E-15,73.9,24.464,233
3NRC_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.66E-14,72,24.893,233
3NRC_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],9.29E-13,65.9,31.206,141
3OIF_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],6.86E-27,106,27.187,320
3OIF_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],7.45E-27,106,27.5,320
3OIF_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],9.79E-27,105,27.5,320
3OIF_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],9.79E-27,105,27.5,320
3OIF_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],3.54E-26,104,27.5,320
3OIF_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],7.64E-20,85.1,29.778,225
3PJD_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],4.31E-20,87.8,26.16,237
3PJD_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],1.90E-19,85.9,25.738,237
3PJD_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],4.43E-19,85.1,24.473,237
3PJD_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],5.08E-19,84.7,24.473,237
3PJD_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],8.66E-19,84,25.738,237
3PJD_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],2.25E-14,70.5,30.216,139
3PJE_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.11E-19,86.7,25.738,237
3PJE_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],4.55E-19,84.7,25.316,237
3PJE_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],1.31E-18,83.6,24.051,237
3PJE_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],1.58E-18,83.6,24.051,237
3PJE_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],2.40E-18,82.8,25.316,237
3PJE_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],6.18E-14,68.9,29.496,139
3PJF_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],9.66E-20,86.7,25.738,237
3PJF_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],4.83E-19,84.7,25.738,237
3PJF_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],1.22E-18,84,24.051,237
3PJF_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],1.48E-18,83.6,24.051,237
3PJF_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],2.49E-18,82.8,25.738,237
3PJF_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],5.94E-14,68.9,29.496,139
3PRS_1|Chain,"['pdb', '1LS5', 'A']",Chain A, plasmepsin IV [Plasmodium falciparum],4.93E-12,65.5,25.078,319
3PRS_1|Chain,"['pdb', '5JOD', 'A']",Chain A, Proplasmepsin IV [Plasmodium falciparum],7.65E-12,65.5,25.078,319
3PRS_1|Chain,"['pdb', '1LEE', 'A']",Chain A, Plasmepsin 2 [Plasmodium falciparum],9.52E-11,61.6,24.839,310
3PRS_1|Chain,"['pdb', '3F9Q', 'A']",Chain A, Plasmepsin-2 [Plasmodium falciparum],9.60E-11,61.6,24.839,310
3PRS_1|Chain,"['pdb', '1LF3', 'A']",Chain A, plasmepsin 2 [Plasmodium falciparum],1.01E-10,61.6,24.839,310
3PRS_1|Chain,"['pdb', '1ME6', 'A']",Chain A, Plasmepsin II [Plasmodium falciparum],1.20E-10,61.6,24.839,310
3Q4U_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],3.82E-15,75.1,29.302,215
3Q4U_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.70E-09,56.2,26.066,211
3Q4U_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.73E-09,56.2,26.066,211
3Q4U_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.46E-09,55.8,25.592,211
3Q4U_1|Chains,"['pdb', '2PML', 'X']",Chain X, Ser/Thr protein kinase [Plasmodium falciparum],1.71E-08,54.7,24.352,193
3Q4U_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.28E-08,55.1,25.896,251
3Q70_1|Chain,"['pdb', '1LEE', 'A']",Chain A, Plasmepsin 2 [Plasmodium falciparum],9.16E-26,105,27.545,334
3Q70_1|Chain,"['pdb', '3F9Q', 'A']",Chain A, Plasmepsin-2 [Plasmodium falciparum],1.17E-25,104,27.246,334
3Q70_1|Chain,"['pdb', '1ME6', 'A']",Chain A, Plasmepsin II [Plasmodium falciparum],1.51E-25,104,27.545,334
3Q70_1|Chain,"['pdb', '1LF3', 'A']",Chain A, plasmepsin 2 [Plasmodium falciparum],1.71E-25,104,27.545,334
3Q70_1|Chain,"['pdb', '5BWY', 'A']",Chain A, Plasmepsin-2 [Plasmodium falciparum],3.60E-25,104,27.545,334
3Q70_1|Chain,"['pdb', '1PFZ', 'A']",Chain A, Proplasmepsin Ii [Plasmodium falciparum],4.75E-25,103,27.545,334
3Q70_1|Chain,"['pdb', '2BJU', 'A']",Chain A, Plasmepsin Ii [Plasmodium falciparum],1.05E-24,103,27.545,334
3SOA_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],3.99E-62,209,34.835,333
3SOA_1|Chain,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],1.89E-32,130,32.83,265
3TI1_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.13E-130,371,63.194,288
3TI1_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.36E-130,371,63.194,288
3TI1_1|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.25E-130,370,62.847,288
3TI1_1|Chain,"['pdb', '3NIE', 'A']",Chain A, MAP2 kinase [Plasmodium falciparum],2.02E-48,166,32.857,350
3TNE_1|Chains,"['pdb', '3F9Q', 'A']",Chain A, Plasmepsin-2 [Plasmodium falciparum],3.94E-23,97.8,27.545,334
3TNE_1|Chains,"['pdb', '1ME6', 'A']",Chain A, Plasmepsin II [Plasmodium falciparum],4.06E-23,97.8,28.399,331
3TNE_1|Chains,"['pdb', '1LEE', 'A']",Chain A, Plasmepsin 2 [Plasmodium falciparum],4.10E-23,97.8,27.545,334
3TNE_1|Chains,"['pdb', '1LF3', 'A']",Chain A, plasmepsin 2 [Plasmodium falciparum],4.22E-23,97.8,28.399,331
3TNE_1|Chains,"['pdb', '5BWY', 'A']",Chain A, Plasmepsin-2 [Plasmodium falciparum],5.98E-23,97.8,28.399,331
3TNE_1|Chains,"['pdb', '3QRV', 'A']",Chain A, Plasmepsin-1 [Plasmodium falciparum],6.03E-23,97.4,27.003,337
3TNE_1|Chains,"['pdb', '1PFZ', 'A']",Chain A, Proplasmepsin Ii [Plasmodium falciparum],6.49E-23,97.8,28.399,331
3TNE_1|Chains,"['pdb', '2BJU', 'A']",Chain A, Plasmepsin Ii [Plasmodium falciparum],1.09E-22,97.8,28.399,331
3ZBF_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.42E-17,82.8,28.509,228
3ZBF_1|Chain,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],4.01E-10,60.5,24.242,297
4ACD_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.59E-46,162,33.113,302
4ACD_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.42E-46,161,32.781,302
4ACD_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.56E-46,161,32.781,302
4ACD_1|Chains,"['pdb', '3NIE', 'A']",Chain A, MAP2 kinase [Plasmodium falciparum],1.08E-30,122,28.496,379
4ALI_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],3.31E-18,82.8,28.311,219
4ALI_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],4.76E-18,82.4,29.224,219
